SalesOrderNumber,SalesAmount,Sconto applicato,Prezzo finale
SO51127,71356.87,122.141,71234.729
SO51860,71028.85,0,71028.84999999998
SO61200,71035.53,304.2072,70731.3228
SO46662,71187.4,470.51879999999994,70716.8812
SO67266,71155.63,622.7548,70532.87519999998
SO57180,70859.25,522.4752000000001,70336.77480000003
SO58950,71225.57,939.2470000000001,70286.32299999999
SO49136,70164.3,0,70164.3
SO48341,70065.3,54.503800000000005,70010.7962
SO58914,69893.77,0,69893.77
SO47001,70152.36,422.82,69729.54000000001
SO50310,70067.49,361.76430000000005,69705.72569999998
SO44771,69681.68,0,69681.68000000001
SO45553,69241.8,1.5428,69240.25720000001
SO44547,69178.06,219.86380000000003,68958.1962
SO69422,69672.05,747.5964,68924.45359999998
SO53616,69588.26,682.5600999999999,68905.69990000002
SO45786,68985.52,105.4248,68880.0952
SO65206,69040.82,292.8398,68747.9802
SO59068,68642.2,2.5827999999999998,68639.61720000002
SO51837,71611.43,3138.4509999999996,68472.97900000002
SO55280,68404.35,0,68404.35
SO50312,68280.31,36.557500000000005,68243.75249999999
SO69441,68203.12,0,68203.12
SO65158,67837.87,6.8882,67830.9818
SO55245,68250.5,435.18460000000005,67815.31539999999
SO48384,67778.47,0,67778.47000000002
SO47034,68026.84,281.88,67744.96000000002
SO50225,67717.48,0,67717.48000000003
SO55257,67687.05,1.3546,67685.6954
SO44492,67458.84,0,67458.84000000001
SO44772,67369.2,0,67369.2
SO45274,66993.7,0,66993.70000000001
SO51109,71690.22,4755.7474999999995,66934.47249999999
SO53605,71108.02,4236.1656,66871.8544
SO44115,66848.27,0,66848.26999999999
SO51850,69330.52,2485.4223,66845.09769999998
SO47708,66791.71,84.23420000000002,66707.47579999997
SO49157,66733.09,44.9135,66688.1765
SO67280,66483.06,3.705,66479.355
SO48069,66454.88,18.801,66436.07900000001
SO63282,66375.6,0,66375.6
SO49095,66728.71,463.5286,66265.1814
SO48010,66145.81,4.2922,66141.51779999999
SO51828,66070.03,23.3524,66046.6776
SO46103,65730.36,0,65730.35999999999
SO45555,65725.81,0,65725.81
SO46633,66143.27,421.56960000000004,65721.7004
SO65173,65623.1,1.2504000000000002,65621.8496
SO46072,65160.66,0,65160.66000000002
SO47450,65615.23,464.8498,65150.380199999985
SO51151,65265.78,481.0088,64784.77120000002
SO44121,64713.82,0,64713.82
SO55275,64715.83,62.046,64653.78400000001
SO48076,64550.52,25.1327,64525.38730000001
SO53464,64154.37,2.6050000000000004,64151.76499999999
SO55264,63986.25,4.8696,63981.38039999999
SO57041,63878.72,0,63878.72000000001
SO48757,63880.21,15.667500000000002,63864.542499999996
SO69545,63849.71,8.8392,63840.87079999999
SO67278,64093.03,332.1559,63760.87409999998
SO53570,63943,236.2547,63706.74530000002
SO53566,63669,0,63668.99999999999
SO46996,63794.25,140.94,63653.31000000002
SO65257,63653.33,7.9718,63645.35820000001
SO57030,63338.74,0,63338.74
SO59044,63244.31,0,63244.30999999999
SO45328,63241.84,0,63241.84
SO67322,63235.52,0,63235.52000000001
SO46672,64512.84,1279.7147000000002,63233.125300000014
SO46953,64355.38,1260.3946,63094.98539999998
SO45342,63037.49,0,63037.49000000001
SO53590,65413.9,2518.278,62895.62200000001
SO67295,62850.08,40.1403,62809.9397
SO55303,63020.59,276.2396,62744.3504
SO57062,62739.33,0,62739.32999999999
SO45564,62717.59,0,62717.59000000001
SO49151,62728.51,26.1772,62702.33280000001
SO51169,68659.76,6005.053999999999,62654.70599999999
SO46671,63097.71,587.8439999999998,62509.866000000016
SO47422,62639.96,135.17659999999998,62504.78339999999
SO46076,62344.01,0,62344.00999999999
SO46057,62359.95,89.20559999999999,62270.744399999996
SO44294,62073.54,4.707,62068.833
SO61189,61945.94,0,61945.93999999999
SO45329,61800.89,0,61800.89000000001
SO46638,61865.17,156.078,61709.09199999999
SO69503,61598.49,5.681000000000001,61592.80899999998
SO47409,61492.38,0,61492.38000000003
SO53614,61267.75,16.704,61251.045999999995
SO45317,61206.46,0,61206.45999999999
SO45321,61194.03,4.968500000000001,61189.0615
SO69426,61243.71,72.69500000000001,61171.01499999998
SO58918,61232.47,71.40910000000001,61161.060900000004
SO69412,61154.46,10.3124,61144.147600000004
SO55233,61119.36,0,61119.36
SO53483,62436.68,1392.7914999999998,61043.88850000002
SO69433,60915.78,0,60915.78000000002
SO51122,60848.39,4.94,60843.450000000004
SO48089,60898.29,79.82780000000001,60818.462199999994
SO55241,60644.88,125.2416,60519.6384
SO47696,60544.87,28.108400000000003,60516.7616
SO51789,64297.02,3871.5338999999994,60425.48610000001
SO47398,60281.19,0,60281.19000000001
SO63213,60118.73,0,60118.729999999996
SO46358,60079.03,0,60079.02999999999
SO44797,59951.35,6.6912,59944.65879999999
SO58943,60412.43,552.4792,59859.95079999998
SO50206,59913.04,76.84740000000001,59836.1926
SO48056,59569.07,0,59569.07
SO47052,59518.68,0,59518.67999999999
SO50668,59518.47,52.255,59466.215
SO51143,59804.76,471.6496,59333.11040000001
SO47439,59309.23,17.1288,59292.10120000001
SO46668,59989.4,751.0459000000002,59238.35410000002
SO65163,59234.78,0,59234.78
SO49848,59277.12,54.7156,59222.4044
SO45796,59103.18,0,59103.18
SO46356,58977.11,0,58977.11
SO65248,58723.98,0,58723.97999999999
SO45577,58704.14,0,58704.14
SO67270,58912.64,236.7768,58675.86320000002
SO44570,58494.8,0,58494.79999999998
SO46992,58519.36,140.94,58378.420000000006
SO51751,58634.95,315.86789999999996,58319.08210000002
SO65303,58248.96,0,58248.96
SO47008,58252.28,17.8974,58234.382600000004
SO50688,58371.87,251.96050000000002,58119.90949999999
SO45344,58114.54,0,58114.53999999999
SO50703,58149.91,108.9912,58040.9188
SO51140,58363.8,414.27630000000005,57949.5237
SO59063,57815.8,0,57815.799999999996
SO44538,57804.97,0,57804.969999999994
SO53485,61457.46,3686.163200000001,57771.29680000002
SO44285,57740.93,1.3224,57739.60760000001
SO44520,57700.29,0,57700.29
SO55277,57599.72,49.8552,57549.8648
SO61227,57449.2,0,57449.19999999999
SO46997,57999.12,617.9362,57381.18380000002
SO61199,58015.27,641.1689000000001,57374.1011
SO47066,57433.64,70.47,57363.17000000002
SO67324,57341.85,54.1067,57287.7433
SO51752,57291.67,28.867500000000003,57262.802500000005
SO67304,58150.48,957.6647999999999,57192.8152
SO46648,57247.89,65.9508,57181.93919999999
SO45338,57142.87,0,57142.86999999998
SO51814,62771.4,5668.2844000000005,57103.1156
SO51147,57218.31,150.31560000000002,57067.99440000001
SO69475,57072.7,36.0207,57036.67930000004
SO49498,57160.77,133.29,57027.48000000001
SO51120,57180.3,199.5355,56980.76450000002
SO45560,56967.04,0,56967.04
SO47447,56817.65,0,56817.65000000001
SO49870,57297.31,480.75260000000003,56816.5574
SO58958,56837.19,189.8694,56647.32060000001
SO47438,56590.49,0,56590.49
SO58962,56579.7,0,56579.70000000002
SO45542,56400.88,0,56400.88000000001
SO46105,56396.56,0,56396.56
SO65191,56395.9,42.2772,56353.622800000005
SO53470,60716.85,4532.6584,56184.19160000001
SO61193,56182.12,1.2504000000000002,56180.8696
SO50226,56191.31,16.9446,56174.3654
SO59071,56122.75,0,56122.749999999985
SO47065,56091.1,119.70000000000002,55971.399999999994
SO51825,55933.62,0,55933.62000000001
SO49166,56199.9,288.0834,55911.816600000006
SO65271,55790.26,0,55790.259999999995
SO46049,55740.76,0,55740.75999999998
SO58961,55710.29,0,55710.29000000002
SO44129,55699.78,0,55699.780000000006
SO51769,55917.29,276.2396,55641.0504
SO47458,55607.39,5.7278,55601.662200000006
SO67294,55535.81,48.8516,55486.95839999999
SO53514,58895.12,3791.982,55103.138
SO45550,54979.91,0,54979.909999999996
SO61244,54955.76,0,54955.76
SO63241,54904.34,0,54904.34000000001
SO46994,54864.27,4.8466000000000005,54859.42340000001
SO47403,54811.92,10.816,54801.104000000014
SO45291,54553.79,0,54553.79
SO55299,54459.34,0,54459.340000000004
SO45527,54458.87,0,54458.869999999995
SO48778,54444.82,0,54444.82000000001
SO63257,54368.16,0,54368.16000000001
SO51154,54531.09,278.6115,54252.47850000001
SO48349,54184.08,0,54184.079999999994
SO47056,54130.24,0,54130.24000000001
SO69532,54337.04,260.641,54076.399000000005
SO48750,54312.64,322.98,53989.659999999996
SO57099,53947.91,28.418800000000005,53919.49120000001
SO49118,54017.28,99.9086,53917.37139999998
SO57168,53901.42,1.4587999999999999,53899.96119999999
SO51748,53957.76,104.73490000000001,53853.02509999999
SO67273,54080.35,310.1976,53770.152400000006
SO59008,53598.51,0,53598.51
SO53524,56844.5,3260.6481000000003,53583.851899999994
SO65201,53500.15,0,53500.15000000001
SO65237,53693.53,217.0454,53476.4846
SO45801,53423.46,0,53423.46000000001
SO46938,53415.9,0,53415.90000000001
SO53560,56025.16,2747.844,53277.316000000006
SO47004,53201.58,31.823999999999998,53169.756
SO50313,53096.92,0,53096.920000000006
SO45064,53033.09,0,53033.09
SO51824,53326.96,303.39320000000004,53023.5668
SO53452,55289.53,2337.2619999999993,52952.268
SO46053,52874.45,0,52874.45
SO67320,52815.08,0,52815.08
SO43902,52803.34,0,52803.33999999999
SO65160,53785.17,1019.1426000000001,52766.02740000002
SO65234,52755.94,0,52755.939999999995
SO59012,52733.21,9.575800000000001,52723.63420000001
SO47721,52830.51,111.39040000000001,52719.11960000001
SO61182,52741.13,44.382600000000004,52696.74740000001
SO65199,52587.08,0,52587.08000000001
SO58919,52674.91,304.2072,52370.70279999999
SO48035,52295.37,0,52295.37
SO65282,52183.04,0,52183.04000000001
SO51716,55230.58,3090.4559999999997,52140.12400000001
SO50753,52108.7,0,52108.700000000004
SO46940,52182.02,76.6036,52105.41640000001
SO47037,52083.99,20.9414,52063.048599999995
SO67292,52032.85,1.2504000000000002,52031.599599999994
SO51720,51741.93,0,51741.92999999999
SO47354,51710.54,0,51710.54
SO53583,51394.9,0,51394.90000000001
SO48386,51394.06,0,51394.060000000005
SO57121,51378.84,2.2924,51376.547600000005
SO46098,51340.97,0,51340.97
SO55249,51438.63,97.76140000000001,51340.86860000001
SO61248,51342.04,18.453,51323.587000000014
SO43897,51234.96,0,51234.96000000001
SO69521,51216.13,0,51216.130000000005
SO47685,51208.9,11.015,51197.88500000001
SO45334,51137.32,0,51137.32
SO48012,51102.95,0,51102.95
SO45315,51062.28,0,51062.280000000006
SO48363,51043.44,9.0088,51034.43119999999
SO57075,50982.8,0,50982.799999999996
SO49160,50953.22,0,50953.22
SO43898,51060.59,111.5584,50949.0316
SO46970,50912.81,0,50912.810000000005
SO44541,50827.04,0,50827.04000000001
SO46086,50794.21,16.1214,50778.08859999999
SO45549,50762.71,0,50762.70999999999
SO50214,50702.01,0,50702.01000000001
SO58956,50668.97,0,50668.97
SO51157,50775.52,199.46519999999998,50576.05480000001
SO63149,50499.5,10.5534,50488.94660000001
SO69451,50399.18,0,50399.18000000001
SO48392,50383.65,5.0726,50378.57740000001
SO67321,50354.84,0,50354.84
SO46980,50382.77,70.47,50312.299999999996
SO51703,50840.12,540.2974,50299.822599999985
SO49161,50262.82,0,50262.820000000014
SO47359,50300.73,88.19,50212.539999999986
SO51106,53953.38,3791.982,50161.397999999994
SO46333,50154.29,0,50154.29
SO69533,50673.91,578.5950000000001,50095.315
SO46620,50250.37,231.06980000000001,50019.30020000001
SO57086,50027.99,16.557,50011.433
SO50722,49862.14,0,49862.14
SO48080,49789.01,0,49789.01
SO48339,49713.07,0,49713.07
SO51146,53088.1,3402.379,49685.721000000005
SO55269,49863.02,266.2706,49596.749399999986
SO47965,49578.64,0,49578.64000000001
SO69520,50008.09,442.995,49565.09500000001
SO69408,49938.05,415.72980000000007,49522.320200000024
SO53571,52347.91,2830.201,49517.709
SO47009,49625.4,140.94,49484.46000000002
SO51092,49721.69,295.8339,49425.8561
SO47975,49379.96,0,49379.96000000001
SO47417,49342.2,0,49342.20000000001
SO51726,50891.8,1633.5364000000002,49258.263600000006
SO46948,49290.48,70.47,49220.01000000001
SO43869,49193.88,0,49193.88
SO57045,49178.47,0,49178.47
SO49849,49349.55,197.1742,49152.375799999994
SO61188,49123.59,0,49123.59
SO44119,49096.05,0,49096.05
SO58931,49113.91,60.9352,49052.9748
SO44549,49037.75,1.3224,49036.4276
SO47716,49019.5,22.5362,48996.9638
SO46045,48909.61,0,48909.61000000001
SO46325,48748.84,0,48748.840000000004
SO49053,48748.41,5.2872,48743.1228
SO53561,48716.68,0,48716.68000000001
SO46993,48755.73,62.0968,48693.63319999999
SO69511,48683.38,41.175399999999996,48642.20460000001
SO46967,48577.58,36.0054,48541.57459999999
SO63157,48531.93,9.7416,48522.18840000001
SO48325,48509.86,0,48509.86
SO47724,48566.7,132.8092,48433.89080000001
SO46931,48300.39,0,48300.39000000001
SO65312,48296.15,11.3652,48284.7848
SO47456,48294.06,26.617800000000003,48267.4422
SO55234,48197.07,8.1026,48188.967400000016
SO44801,48156.17,0,48156.16999999999
SO46387,48117.87,0,48117.869999999995
SO49831,48003.41,38.297399999999996,47965.11260000002
SO47675,47948.61,0,47948.61
SO47435,47901.73,30.9431,47870.7869
SO48087,47836.77,0,47836.77000000001
SO53513,53039.06,5226.4453,47812.614700000006
SO55309,47814.4,56.18300000000001,47758.217
SO46933,47965.04,211.41,47753.63000000001
SO44563,47716.9,0,47716.899999999994
SO46100,47655.06,0,47655.06
SO48033,47812.43,247.0704,47565.35960000001
SO55325,47522.98,0,47522.97999999999
SO63285,47450.25,0,47450.24999999999
SO47042,47430.9,17.461399999999998,47413.43859999998
SO51774,47574.59,165.1834,47409.4066
SO46608,47449.43,45.467600000000004,47403.9624
SO44776,47370.7,0,47370.7
SO49501,47277.08,6.1684,47270.9116
SO47687,47238.5,0,47238.499999999985
SO47994,47221.28,0,47221.28000000002
SO50696,47192.28,0,47192.27999999999
SO47973,47151.15,0,47151.149999999994
SO49510,47083.99,0,47083.99
SO65200,47079.56,10.5534,47069.0066
SO53457,47320.1,319.46160000000003,47000.6384
SO50259,46990.26,0,46990.26
SO44567,46957.76,0,46957.76
SO53520,50866.84,4163.724,46703.11599999999
SO53606,46742.02,48.535000000000004,46693.485000000015
SO57080,46762.93,87.5,46675.43000000001
SO51762,46799.32,217.0454,46582.27460000001
SO46082,46519.08,0,46519.08000000001
SO59031,46448.59,0,46448.590000000004
SO51845,46468.5,40.8571,46427.64289999999
SO51137,46420.32,0,46420.320000000014
SO55301,46480.46,68.3031,46412.156899999994
SO46047,46396.66,0,46396.66
SO47049,46321.77,0,46321.77
SO46385,46414.7,113.5344,46301.16559999999
SO48026,46280.71,0,46280.710000000014
SO48780,46606.03,344.512,46261.518
SO50689,46260.6,0,46260.59999999999
SO44787,46173.64,0,46173.64000000001
SO63252,46030.74,0,46030.74
SO47055,47402.94,1382.0014,46020.938599999994
SO45781,45943.76,0,45943.76000000001
SO49864,45918.55,0,45918.55
SO44749,45851.79,0,45851.789999999986
SO47024,45845.38,0,45845.37999999999
SO50265,45840.77,0,45840.770000000004
SO51810,46010.08,188.2893,45821.79070000002
SO50231,45752.33,0,45752.33000000001
SO46107,45725.45,0,45725.45
SO50727,45943.71,227.065,45716.64500000001
SO50314,45674.34,0,45674.34000000002
SO49480,45661.89,0,45661.89000000001
SO55256,45633.08,0,45633.08000000001
SO49836,45570.93,0,45570.92999999999
SO63216,45559.17,25.5214,45533.64860000001
SO46060,45492.43,4.707,45487.72299999999
SO65174,45169.31,0,45169.310000000005
SO46655,45064.25,0,45064.24999999999
SO46625,45092.53,101.43039999999999,44991.09959999998
SO50221,44987.74,0,44987.740000000005
SO59021,44971.27,10.5534,44960.7166
SO63177,44907.33,0,44907.33000000001
SO50272,44893.13,0,44893.130000000005
SO67302,44879.4,0,44879.40000000002
SO50284,44805.47,6.6912,44798.77880000001
SO49104,44669.61,0,44669.61
SO63204,44660.75,0,44660.75000000001
SO51842,44630.15,1.4587999999999999,44628.691199999994
SO49094,44603.81,0,44603.81000000001
SO50728,44624.06,26.9218,44597.1382
SO57145,44595,0,44595
SO48018,44583.82,0,44583.820000000014
SO50712,44541.82,0,44541.820000000014
SO59040,44859.98,359.5176,44500.462400000004
SO53510,44441.8,30.792,44411.007999999994
SO48347,44305.37,0,44305.37000000002
SO48016,44297.77,0,44297.770000000004
SO49490,44311.37,15.989799999999999,44295.380200000014
SO48059,44241.67,0,44241.66999999999
SO69540,44264.83,36.4164,44228.4136
SO47668,44165.84,0,44165.840000000004
SO50321,44161.56,0,44161.560000000005
SO51832,44223.87,63.975699999999996,44159.89430000003
SO49123,44129.9,0,44129.9
SO48296,44080.82,0,44080.82
SO53576,44080.64,30.792,44049.848000000005
SO48004,44025.48,0,44025.48
SO53480,44149.82,128.6044,44021.21559999999
SO47380,44036.6,18.801,44017.799
SO47384,44013.55,0,44013.55000000002
SO51809,44062.26,65.433,43996.827000000005
SO58927,44270.03,292.8678,43977.162199999984
SO47725,43816.31,9.5678,43806.74220000001
SO44288,43803.21,0,43803.20999999999
SO51772,43789.6,0,43789.600000000006
SO49496,43758,0,43757.99999999999
SO44283,43846.6,97.3152,43749.284799999994
SO49091,43681.72,0,43681.72000000001
SO50738,43698.67,20.017200000000003,43678.6528
SO44509,43615.49,0,43615.48999999998
SO49841,43579.34,0,43579.34000000002
SO44513,43520.08,0,43520.08000000001
SO47992,43496.28,0,43496.28000000001
SO58906,43451.3,0,43451.299999999996
SO48079,43444.02,0,43444.020000000004
SO49167,43394.31,0,43394.31000000001
SO47720,43396.07,9.5678,43386.50219999999
SO53536,43387.53,134.7648,43252.76520000001
SO50244,43180.87,0,43180.87000000001
SO58905,43243.19,91,43152.189999999995
SO57141,43072.53,0,43072.53
SO49129,43071.69,0,43071.69
SO53613,43102.65,89.91120000000001,43012.73880000001
SO44778,42894.27,0,42894.270000000004
SO48332,42866.43,0,42866.43
SO53577,45596.3,2738.1339999999996,42858.16599999999
SO51839,42935.35,106.47500000000001,42828.87499999999
SO43683,42813.38,0,42813.38
SO45540,42756.09,0,42756.09
SO48051,42754.96,0,42754.96
SO49065,42740.57,0,42740.57
SO46380,58422.7,15693.125,42729.575
SO48378,42837.09,117.0852,42720.00480000001
SO69456,43087.67,372.96520000000004,42714.70480000001
SO49890,43033.52,379.91900000000004,42653.601
SO49891,42765.24,123.7912,42641.4488
SO49086,42594.37,0,42594.37000000001
