Data,Data RegEx
"May 24, 2004",24/05/2004
"May 23, 2004",23/05/2004
"Mar 27, 2004",27/03/2004
"Jan 10, 2004",10/01/2004
"Sep 2, 2003",02/09/2003
"Dec 13, 2002",13/12/2002
"Nov 22, 2002",22/11/2002
"Aug 17, 2002",17/08/2002
"May 21, 2002",21/05/2002
"Dec 24, 2001",24/12/2001
"Dec 17, 2001",17/12/2001
"Sep 29, 2001",29/09/2001
"Jun 2, 2001",02/06/2001
"Oct 23, 2000",23/10/2000
"Oct 1, 2000",01/10/2000
"Sep 6, 2000",06/09/2000
"Mar 2, 2000",02/03/2000
"Feb 8, 2000",08/02/2000
"Oct 12, 1999",12/10/1999
"Aug 16, 1999",16/08/1999
"Jul 7, 1999",07/07/1999
"Jul 1, 1999",01/07/1999
"Jun 21, 1999",21/06/1999
"Jun 10, 1999",10/06/1999
"Apr 18, 1999",18/04/1999
"Feb 16, 1999",16/02/1999
"Nov 3, 1998",03/11/1998
"Oct 14, 1998",14/10/1998
"Aug 6, 1998",06/08/1998
"Jul 14, 1998",14/07/1998
"Jun 22, 1998",22/06/1998
"Jan 13, 1998",13/01/1998
"Nov 12, 1997",12/11/1997
"Sep 18, 1997",18/09/1997
"Aug 27, 1997",27/08/1997
"Jul 30, 1997",30/07/1997
"Jul 12, 1997",12/07/1997
"Jun 26, 1997",26/06/1997
"Jun 11, 1997",11/06/1997
"Apr 6, 1997",06/04/1997
"Mar 7, 1997",07/03/1997
"Oct 21, 1996",21/10/1996
"Aug 26, 1996",26/08/1996
"Jun 27, 1996",27/06/1996
"Feb 23, 1996",23/02/1996
"Dec 23, 1995",23/12/1995
"Dec 22, 1995",22/12/1995
"Oct 26, 1995",26/10/1995
"Sep 8, 1995",08/09/1995
"Jul 13, 1995",13/07/1995
"Dec 27, 1994",27/12/1994
"Nov 27, 1994",27/11/1994
"Aug 7, 1994",07/08/1994
"Jul 20, 1994",20/07/1994
"Jun 27, 1994",27/06/1994
"Apr 28, 1994",28/04/1994
"Dec 22, 1993",22/12/1993
"Sep 24, 1993",24/09/1993
"Jul 23, 1993",23/07/1993
"Jan 23, 1993",23/01/1993
"Aug 24, 1992",24/08/1992
"Aug 8, 1992",08/08/1992
"Jul 25, 1992",25/07/1992
"May 6, 1992",06/05/1992
"Feb 8, 1992",08/02/1992
"Dec 12, 1991",12/12/1991
"Jul 5, 1991",05/07/1991
"Feb 27, 1991",27/02/1991
"Jan 19, 1991",19/01/1991
"Nov 8, 1990",08/11/1990
"Oct 26, 1990",26/10/1990
"Aug 15, 1990",15/08/1990
"Aug 8, 1990",08/08/1990
"Jan 18, 1990",18/01/1990
"Nov 4, 1989",04/11/1989
"Aug 27, 1989",27/08/1989
"Feb 3, 1989",03/02/1989
"Dec 6, 1988",06/12/1988
"Nov 7, 1988",07/11/1988
"Apr 7, 1988",07/04/1988
"Jan 1, 1988",01/01/1988
"Nov 28, 1987",28/11/1987
"Nov 9, 1987",09/11/1987
"Sep 12, 1987",12/09/1987
"Aug 17, 1987",17/08/1987
"Mar 10, 1987",10/03/1987
"Jan 12, 1987",12/01/1987
"Dec 13, 1986",13/12/1986
"Oct 3, 1986",03/10/1986
"Jun 3, 1986",03/06/1986
"Jan 24, 1986",24/01/1986
"Nov 26, 1985",26/11/1985
"Sep 30, 1985",30/09/1985
"Sep 21, 1985",21/09/1985
"Mar 19, 1985",19/03/1985
"Mar 10, 1985",10/03/1985
"Jan 12, 1985",12/01/1985
"Jan 7, 1985",07/01/1985
"Dec 11, 1984",11/12/1984
"Nov 16, 1984",16/11/1984
"Oct 17, 1984",17/10/1984
"Jun 15, 1984",15/06/1984
"Aug 30, 1983",30/08/1983
"Aug 6, 1983",06/08/1983
"Jul 31, 1983",31/07/1983
"Jun 25, 1983",25/06/1983
"Jun 17, 1983",17/06/1983
"Jan 16, 1983",16/01/1983
"Dec 7, 1982",07/12/1982
"Nov 13, 1982",13/11/1982
"Jun 29, 1982",29/06/1982
"Dec 25, 1981",25/12/1981
"Nov 11, 1981",11/11/1981
"Oct 12, 1981",12/10/1981
"Jul 9, 1981",09/07/1981
"May 5, 1981",05/05/1981
"Mar 25, 1981",25/03/1981
"Jan 31, 1981",31/01/1981
"Nov 1, 1980",01/11/1980
"Feb 14, 1980",14/02/1980
"Jul 9, 1979",09/07/1979
"May 10, 1979",10/05/1979
"Apr 17, 1979",17/04/1979
"Mar 29, 1979",29/03/1979
"Dec 4, 1978",04/12/1978
"May 10, 1978",10/05/1978
"Mar 31, 1978",31/03/1978
"Feb 7, 1978",07/02/1978
"Jan 20, 1978",20/01/1978
"Nov 26, 1977",26/11/1977
"Jul 10, 1977",10/07/1977
"Apr 24, 1977",24/04/1977
"Feb 3, 1977",03/02/1977
"Sep 15, 1976",15/09/1976
"Jul 26, 1976",26/07/1976
"Jul 3, 1976",03/07/1976
"Jun 29, 1976",29/06/1976
"Jun 20, 1976",20/06/1976
"Mar 15, 1976",15/03/1976
"Oct 13, 1975",13/10/1975
"May 27, 1975",27/05/1975
"May 24, 1975",24/05/1975
"May 14, 1975",14/05/1975
"Apr 16, 1975",16/04/1975
"Feb 14, 1975",14/02/1975
"Dec 24, 1974",24/12/1974
"Dec 11, 1974",11/12/1974
"Dec 4, 1974",04/12/1974
"Oct 30, 1974",30/10/1974
"Oct 24, 1974",24/10/1974
"Oct 15, 1974",15/10/1974
"Jul 27, 1974",27/07/1974
"Jul 24, 1974",24/07/1974
"May 18, 1974",18/05/1974
"Mar 11, 1974",11/03/1974
"Mar 4, 1974",04/03/1974
"Feb 3, 1974",03/02/1974
"Nov 5, 1973",05/11/1973
"Oct 24, 1973",24/10/1973
"Oct 4, 1973",04/10/1973
"Jun 1, 1973",01/06/1973
"Jan 24, 1973",24/01/1973
"Apr 7, 1972",07/04/1972
"Apr 2, 1972",02/04/1972
"Jan 3, 1972",03/01/1972
"Jan 1, 1972",01/01/1972
"Dec 8, 1971",08/12/1971
"Aug 1, 1971",01/08/1971
"May 22, 1971",22/05/1971
"Apr 11, 1971",11/04/1971
"Mar 29, 1971",29/03/1971
"Feb 26, 1971",26/02/1971
"Feb 18, 1971",18/02/1971
"Feb 1, 1971",01/02/1971
"Jan 20, 1971",20/01/1971
"Jan 17, 1971",17/01/1971
"Dec 13, 1970",13/12/1970
"Sep 28, 1970",28/09/1970
"Aug 3, 1970",03/08/1970
"May 23, 1970",23/05/1970
null,null
